text,category
MRI scan and diagnostics ₹1048,Medical
TNEB electricity bill ₹357,Utilities
Water bill for apartment ₹4159,Utilities
Supermarket grocery bill ₹2704,Groceries
Nykaa cosmetics order ₹2682,Online Shopping
Pharmacy medicine purchase ₹4448,Medical
Spencer's grocery receipt ₹4802,Groceries
Doctor visit charge ₹4715,Medical
Flipkart electronics purchase ₹1734,Online Shopping
Snapdeal online purchase ₹206,Online Shopping
Monthly groceries ₹2125,Groceries
Apollo Hospital consultation bill ₹4444,Medical
Snapdeal online purchase ₹2933,Online Shopping
Doctor visit charge ₹3199,Medical
Pharmacy medicine purchase ₹118,Medical
Nykaa cosmetics order ₹4258,Online Shopping
Supermarket grocery bill ₹491,Groceries
Water bill for apartment ₹1952,Utilities
MRI scan and diagnostics ₹3039,Medical
Clinic payment for health check ₹1751,Medical
Monthly groceries ₹476,Groceries
Doctor visit charge ₹4435,Medical
Clinic payment for health check ₹3935,Medical
Water bill for apartment ₹1382,Utilities
MRI scan and diagnostics ₹4799,Medical
"Milk, bread, and vegetables ₹931",Groceries
Water bill for apartment ₹812,Utilities
Water bill for apartment ₹3323,Utilities
Supermarket grocery bill ₹4503,Groceries
Spencer's grocery receipt ₹2102,Groceries
Pharmacy medicine purchase ₹1667,Medical
Utility charges for power consumption ₹3853,Utilities
Monthly groceries ₹1135,Groceries
Nykaa cosmetics order ₹1516,Online Shopping
TNEB electricity bill ₹4158,Utilities
Water bill for apartment ₹4710,Utilities
Snapdeal online purchase ₹3576,Online Shopping
Apollo Hospital consultation bill ₹4079,Medical
Utility charges for power consumption ₹1927,Utilities
Doctor visit charge ₹2918,Medical
Pharmacy medicine purchase ₹4270,Medical
Apollo Hospital consultation bill ₹1166,Medical
Apollo Hospital consultation bill ₹1961,Medical
Utility charges for power consumption ₹3627,Utilities
Clinic payment for health check ₹2616,Medical
Pharmacy medicine purchase ₹636,Medical
Snapdeal online purchase ₹4683,Online Shopping
Snapdeal online purchase ₹477,Online Shopping
Gas cylinder booking ₹2989,Utilities
Pharmacy medicine purchase ₹4747,Medical
Water bill for apartment ₹1890,Utilities
Amazon order ID 12345 ₹3604,Online Shopping
Spencer's grocery receipt ₹4842,Groceries
Monthly EB charges ₹678,Utilities
Myntra clothing bill ₹4331,Online Shopping
Myntra clothing bill ₹4758,Online Shopping
Snapdeal online purchase ₹2453,Online Shopping
Clinic payment for health check ₹419,Medical
Clinic payment for health check ₹115,Medical
Monthly groceries ₹4387,Groceries
Water bill for apartment ₹1670,Utilities
Gas cylinder booking ₹4485,Utilities
MRI scan and diagnostics ₹2027,Medical
Monthly EB charges ₹4799,Utilities
Pharmacy medicine purchase ₹2707,Medical
Utility charges for power consumption ₹764,Utilities
"Milk, bread, and vegetables ₹4030",Groceries
Monthly EB charges ₹1258,Utilities
Water bill for apartment ₹3320,Utilities
Gas cylinder booking ₹734,Utilities
Clinic payment for health check ₹2794,Medical
